,city,hot,num,level_sum,lati
349,高雄,3.0999999999999996,1412,21,0
350,鸡西,0.0,181,4,0
351,鹤壁,0.0,38,3,0
352,鹤岗,0.0,0,1,0
353,鹰潭,0.7,493,5,0
354,黄冈,4.32,891,10,0
355,黄南藏族自治州,2.6,74,4,0
356,黄山,17.459999999999997,19710,55,0
357,黄石,1.74,87,4,0
358,黑河,1.7,151,7,0
359,黔东南,8.68,1836,24,0
360,黔南,6.04,2034,23,0
361,黔西南,3.8599999999999994,609,9,0
362,齐齐哈尔,2.56,355,10,0
363,龙岩,4.52,517,14,0
